hora,temp,press,ventvel,rad,chuva,act,classe
20,25.1,1011.9,0.4,-2.36,0,0,normal
21,24.9,1011.8,0.1,-3.41,0,0.004,normal
22,24.8,1011.4,0.5,-3.49,0,0.004,normal
23,24.4,1010.9,0.4,-3.07,0,0,normal
0,24.1,1010.4,0.1,-3.54,0,0.006,normal
1,23.8,1010.3,0,-3.54,0,0.041,normal
2,23.7,1010.4,0.1,-3.54,0,0.085,normal
3,23.7,1010.5,0,-3.54,0,0.179,normal
4,24.2,1011,0.3,33.79,0,0.374,normal
5,25.5,1011.4,0.5,145.1,0,0.931,normal
6,27.9,1011.8,1.4,218.9,0,1.371,normal
7,29.7,1012.3,1.4,790.4,0,1.327,normal
8,29.6,1012.1,1.3,1796,0,1.355,normal
9,31.3,1011.5,0.9,2669,0.2,0.981,normal
10,30.5,1010.5,1.7,1991,0,0.943,normal
11,31.4,1009.4,1.5,2745,0,0.962,normal
12,32.7,1008.8,1.3,1751,0,0.704,normal
13,31.5,1008.3,1.8,1474,0,0.557,normal
14,30,1008.2,0.8,879.6,0,0.491,normal
15,27.3,1008.5,1.2,78.76,0,0.459,normal
16,27.2,1009,0.9,9.05,0,0.566,normal
17,26.7,1009.4,0.3,-2.87,0,0.245,normal
18,26.4,1010,0.4,-3.53,0,0.063,normal
19,25.9,1010.3,0.5,-3.48,0,0.009,normal
20,25.4,1010.5,0.7,-3.54,0,0.053,normal
21,25.2,1010,0.9,-3.26,0,0.025,normal
22,24.9,1009.7,0.7,-3.23,0,0.031,normal
23,24.6,1009.2,0.2,-3.54,0,0.167,normal
0,24.3,1009,0,-3.54,0,0.094,normal
1,23.9,1009,0,-3.54,0,0.176,normal
2,23.5,1009.1,0,-3.54,0,0.191,normal
3,23.2,1009.6,0,-3.54,0,0.334,normal
4,24,1009.7,0.2,34.39,0,0.535,normal
5,25.7,1010.5,0.9,156.4,0,1.082,normal
6,28.3,1010.9,1.3,262.9,0,1.426,normal
7,29.7,1010.9,1.8,814.1,0,1.158,normal
8,30.1,1010.8,1.9,1878,0,1.091,normal
9,30.6,1010.2,1.6,2656,0,1.125,normal
10,31.7,1009.4,1.3,2326,0,0.96,normal
11,31.6,1008.6,1.2,2256,0,0.881,normal
12,31.9,1007.9,1.2,1450,0,0.827,normal
13,31.8,1007.7,1.3,1718,0,0.815,normal
14,30.3,1007.7,2,1132,0,0.523,normal
15,29,1008.1,1.8,262.2,0,0.426,normal
16,27.9,1008.4,1.4,8.973,0,0.383,normal
17,27.6,1009.5,0.9,-1.32,0,0.17,normal
18,25.5,1010.8,2.6,-1.76,0,0.058,normal
19,25,1010.9,0.3,-2.95,0,0.003,normal
20,24.9,1011.2,0.6,-2.99,0,0.015,normal
21,24.6,1010.5,0.1,-3.22,0,0.018,normal
22,25,1009.9,0.5,-3.35,0,0.143,normal
23,24.8,1009.1,0.3,-3.54,0,0.082,normal
0,24.6,1008.6,0.2,-3.54,0,0.046,normal
1,24.4,1008.4,0.1,-3.54,0,0.108,normal
2,24.2,1008.8,0.1,-3.54,0,0.192,normal
3,23.7,1009.1,0,-3.54,0,0.347,normal
4,24.1,1009.5,0.3,33.45,0,0.718,normal
5,25.9,1010.2,0.8,158.9,0,1.229,normal
6,27.8,1010.8,1.2,367.4,0,1.656,normal
7,29.4,1010.4,1.7,797.5,0,1.43,normal
8,31.5,1010.2,1.4,2444,0,1.375,normal
9,31.6,1009.7,1.2,2775,0,1.139,normal
10,31.7,1009.1,2.7,2025,0,1.08,normal
11,31.5,1008.3,1.9,2854,0,0.842,normal
12,32,1007.7,2.1,2342,0,0.752,normal
13,29.6,1007.6,1.3,903.6,0.2,0.644,normal
14,30.1,1007.6,1.3,573.2,0,0.409,normal
15,28.1,1008.2,0.9,160.9,0,0.229,normal
16,25.9,1008.9,0.2,0.416,3.2,0.266,normal
17,24.8,1009.6,0.3,-3.14,0.2,0.102,normal
18,24.9,1010.5,0.3,-1.89,1.8,0.031,normal
19,25,1011,0.1,-2.83,0,0.053,normal
20,25,1011.2,0.1,-1.42,0,0.084,normal
21,25,1010.9,0,-1.25,0,0.099,normal
22,24.6,1010.2,0.2,-2,0,0.096,normal
23,24.2,1009.6,0,-3.47,0,0.149,normal
0,24.2,1009.1,0.2,-3.47,0,0.099,normal
1,23.9,1008.9,0.2,-3.52,0,0.12,normal
2,23.8,1009.2,0.3,-3.52,0,0.244,normal
3,23.5,1009.5,0.3,-3.54,0,0.367,anormal
4,23.6,1009.8,0.3,33.68,0,0.908,normal
5,25.2,1010.5,0.7,161.3,0,1.509,normal
6,27.8,1011.1,1.2,254.9,0,1.64,normal
7,29.7,1011.2,1.2,742.4,0,1.594,normal
8,29.8,1011,1.7,2311,0,1.473,normal
9,30.9,1010.5,2.1,2330,0,1.085,normal
10,31.8,1009.7,0.9,2799,0,0.89,normal
11,31.7,1008.7,1.4,2661,0,0.901,normal
12,31.6,1008.4,2.1,1973,0,0.618,normal
13,30.3,1008.1,1.6,1672,0,0.516,normal
14,30.7,1008,1.5,877.5,0,0.325,normal
15,29.5,1008.2,1.1,261.8,0,0.237,normal
16,28.6,1008.6,0.8,11.72,0,0.24,normal
17,28.1,1009.1,0.7,-3,0,0.131,normal
18,27.2,1010.2,0.7,-3.38,0,0.081,normal
19,26,1010.5,0.7,-3.48,0,0.007,normal
20,25.5,1011.2,0.7,-3.54,0,0.018,normal
21,24.9,1010.8,0.5,-3.54,0,0.018,normal
22,24.6,1010.3,0.4,-3.54,0,0.081,normal
23,24.4,1009.8,0.2,-3.54,0,0.071,normal
0,24.2,1009.3,0.4,-3.54,0,0.086,normal
1,24,1009.3,0.5,-3.54,0,0.06,anormal
2,23.7,1009.4,0.4,-3.54,0,0.095951986,anormal
3,23.5,1009.6,0.6,-3.54,0,1.964640037,anormal
4,23.8,1010,0.7,36.51,0,0.175,normal
5,25.8,1010.5,1.1,158.3,0,0.964640037,normal
6,28.4,1011.3,0.7,240,0,0.385014229,normal
7,30.1,1011.9,1.1,725.5,0,0.813071783,normal
8,29.4,1011.9,2,2288,0,0.408616249,anormal
9,31.1,1011.4,2,2851,0,0.193427351,normal
10,31.7,1010.6,1.4,3268,0,1.234,normal
11,31.8,1009.9,2.5,2952,0,0.752143006,normal
12,31.6,1009.2,2.2,2412,0,0.446496889,normal
13,31.7,1008.9,1.3,1916,0,0.821,normal
14,30.8,1009,0.8,885.8,0,0.912,normal
15,29.2,1009.4,1.4,129.9,0,0.005,normal
16,28.1,1009.9,1.1,7.268,0,0.373,normal
17,27.7,1010.8,0.9,-3.54,0,0.272,normal
18,27.3,1011.4,0.5,-3.44,0,0.056,normal
19,26.9,1011.8,0.7,-2.16,0,0.004,normal
20,26.2,1011.6,0.4,-3.54,0,0.034,normal
21,25.8,1011.2,0.2,-3.54,0,0.052,normal
22,25.6,1010.3,0.7,-3.54,0,0.037,normal
23,25.1,1009.4,0.3,-3.54,0,0.045,normal
0,24.6,1008.8,0.3,-3.54,0,0.125,normal
1,24.5,1008.7,0.1,-3.54,0,0.065,normal
