hora,temp,press,ventvel,rad,chuva,act,classe
20,249,10112,6,-299,0,15,normal
21,246,10105,1,-322,0,18,normal
22,25,10099,5,-335,0,143,normal
23,248,10091,3,-354,0,82,normal
0,246,10086,2,-354,0,46,anormal
1,244,10084,1,-354,0,108,normal
2,242,10088,1,-354,0,192,anormal
3,237,10091,0,-354,0,347,normal
4,241,10095,3,3345,0,718,normal
5,259,10102,8,1589,0,1229,normal
6,278,10108,12,3674,0,1656,normal
7,294,10104,17,7975,0,143,normal
8,315,10102,14,2444,0,1375,normal
9,316,10097,12,2775,0,1139,normal
10,317,10091,27,2025,0,108,normal
11,315,10083,19,2854,0,842,normal
12,32,10077,21,2342,0,752,normal
13,296,10076,13,9036,2,644,normal
14,301,10076,13,5732,0,409,normal
15,281,10082,9,1609,0,229,normal
16,259,10089,2,416,32,266,normal
17,248,10096,3,-314,2,102,normal
18,249,10105,3,-189,18,31,normal
19,25,1011,1,-283,0,53,normal
20,25,10112,1,-142,0,84,anormal
21,25,10109,0,-125,0,99,normal
22,246,10102,2,-2,0,96,normal
23,242,10096,0,-347,0,149,normal
0,242,10091,2,-347,0,99,normal
1,239,10089,2,-352,0,12,normal
2,238,10092,3,-352,0,244,normal
3,235,10095,3,-354,0,367,normal
4,236,10098,3,3368,0,908,anormal
5,252,10105,7,1613,0,1509,normal
6,278,10111,12,2549,0,164,anormal
7,297,10112,12,7424,0,1594,normal
8,298,1011,17,2311,0,1473,anormal
9,309,10105,21,2330,0,1085,normal
10,318,10097,9,2799,0,89,normal
11,317,10087,14,2661,0,901,normal
12,316,10084,21,1973,0,618,normal
13,303,10081,16,1672,0,516,normal
14,307,1008,15,8775,0,325,normal
15,295,10082,11,2618,0,237,normal
16,286,10086,8,1172,0,24,normal
17,281,10091,7,-3,0,131,normal
18,272,10102,7,-338,0,81,normal
19,26,10105,7,-348,0,7,normal
20,255,10112,7,-354,0,18,normal
21,249,10108,5,-354,0,18,normal
22,246,10103,4,-354,0,81,normal
23,244,10098,2,-354,0,71,normal
0,242,10093,4,-354,0,86,normal
1,24,10093,5,-354,0,6,normal
2,237,10094,4,-354,0,9595198618,normal
3,235,10096,6,-354,0,1964640037,normal
4,238,1010,7,3651,0,175,normal
5,258,10105,11,1583,0,9646400367,normal
6,284,10113,7,240,0,3850142285,normal
7,301,10119,11,7255,0,8130717827,anormal
8,294,10119,2,2288,0,408616249,normal
9,311,10114,2,2851,0,1934273506,normal
