hora,temp,press,ventvel,rad,chuva,act,classe
1,238,10102,3,-354,0,211,normal
2,235,10107,0,-354,0,298,normal
3,234,10108,0,-354,0,408,normal
4,241,10116,5,4853,0,559,anormal
5,264,10121,8,1949,0,977,normal
6,285,10127,16,3185,0,1278,normal
7,297,1013,23,6776,0,11,normal
8,315,1013,17,2452,0,1923,normal
9,322,10124,16,2980,0,1635,anormal
10,326,10114,21,2122,0,1278,normal
11,326,10105,16,2039,0,1361,anormal
12,335,10098,1,1624,0,1117,normal
13,315,10094,17,8329,0,1104,normal
14,315,10094,13,7011,0,883,normal
15,301,10098,7,1138,0,726,normal
16,291,10102,6,1197,0,813,normal
17,282,10108,9,-354,0,351,normal
18,272,10113,5,-354,0,87,normal
19,263,1012,12,-354,0,13,normal
20,255,10122,11,-354,0,2,normal
21,251,10119,8,-354,0,94,normal
22,247,10114,8,-354,0,87,normal
23,242,10106,3,-354,0,127,normal
0,239,10103,6,-354,0,155,normal
