Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
abelha_anomalia_12h_k11,1,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,66,7.3,0,90.03887449,9.961125509,0,0.294818407,0.165389428,0.294204715,83.75130978,93.87833841,36.75784132,33.11200036,3.645840953,0.501445115,0.451771226,0.049673889,4.830249734,0.065816579,956.654629,0.983100233,64.1,0.768055556,6.2,0.231944444,1.9,0.016899767,1.1,0.911864553,0.983100233,0.946082078,0.348973255,0.555717754,0.900336377,0.900388745,0.685344067,0.314655933,0.099611255,0.885458842,0.900388745,0.878809572,0.348973255,0.555717754,0.840656205,0.640546866,0.900388745,0.2742,0,0.2671875,0,267.1875,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,2,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,65.9,7.4,0,89.90559052,10.09440948,0,0.236992154,0.161782781,0.294711791,81.95872867,94.05450145,36.75784132,33.46987733,3.287963991,0.501445115,0.456595148,0.044849967,5.603925045,0.076390448,1110.809616,0.986200466,64.3,0.802777778,6.5,0.197222222,1.6,0.013799534,0.9,0.908679259,0.986200466,0.945685055,0.268332346,0.56659188,0.89868342,0.899055905,0.715633217,0.284366783,0.100944095,0.862873556,0.899055905,0.870992283,0.268332346,0.56659188,0.839368129,0.607084952,0.899055905,0.2682,1.00E-04,0.2625,0,262.5,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,3,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,66.1,7.2,0,90.18141429,9.818585709,0,0.302625101,0.166728929,0.292017087,84.3502458,93.10232389,36.75784132,32.98843827,3.769403048,0.501445115,0.449896133,0.051548982,4.718658435,0.064532962,932.9183664,0.983100233,64.1,0.751388889,6.1,0.248611111,2,0.016899767,1.1,0.913407167,0.983100233,0.946886849,0.33616144,0.544763015,0.894386403,0.901814143,0.670102799,0.329897201,0.098185857,0.876689533,0.901814143,0.879783479,0.33616144,0.544763015,0.835106227,0.64398455,0.901814143,0.2586,2.00E-04,0.2546875,0,254.6875,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,4,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,66.2,7.1,0,90.31654943,9.683450574,0,0.276825777,0.163570209,0.291829325,82.91126901,93.20895013,36.75784132,33.22967735,3.528163963,0.501445115,0.453170354,0.048274761,5.813752476,0.079348872,1153.449262,0.986223776,64.3,0.769444444,6.2,0.230555556,1.9,0.013776224,0.9,0.912557359,0.986223776,0.947808455,0.31367984,0.54013986,0.894518502,0.903165494,0.686386162,0.313613838,0.096834506,0.874619477,0.903165494,0.87773667,0.31367984,0.54013986,0.835026929,0.628252102,0.903165494,0.2823,1.00E-04,0.2765625,0,276.5625,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,5,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,66,7.3,0,90.04072566,9.959274343,0,0.29266616,0.165121572,0.293640096,83.60997681,93.70768183,36.75784132,33.06261538,3.695225938,0.501445115,0.451041971,0.050403144,5.045617465,0.068805775,999.6492868,0.983123543,64.1,0.766666667,6.2,0.233333333,1.9,0.016876457,1.1,0.911914433,0.983123543,0.946139157,0.339097577,0.561752137,0.898390854,0.900407257,0.68395038,0.31604962,0.099592743,0.88219706,0.900407257,0.878515063,0.339097577,0.561752137,0.837642687,0.639378825,0.900407257,0.2581,1.00E-04,0.2578125,0,257.8125,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,6,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,65.8,7.5,0,89.76305072,10.23694928,0,0.258160072,0.164905949,0.297209228,83.5027248,94.82572954,36.75784132,34.18383249,2.574008827,0.501445115,0.466458017,0.034987098,5.046564133,0.06868426,999.7875513,0.983100233,64.1,0.790277778,6.4,0.209722222,1.7,0.016899767,1.1,0.90941179,0.983100233,0.944707794,0.294354524,0.539275447,0.8899162,0.897630507,0.704808052,0.295191948,0.102369493,0.869069798,0.897630507,0.872973079,0.294354524,0.539275447,0.828495743,0.619859725,0.897630507,0.2687,1.00E-04,0.2625,0,262.5,0,11226,62760.1,8224.9,99.8630137,99.93150685,?
abelha_anomalia_12h_k11,7,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,66.4,6.9,0,90.58496853,9.41503147,0,0.328950271,0.164215581,0.290603337,83.15588747,92.6912839,36.75784132,32.73448636,4.023354955,0.501445115,0.446616186,0.054828929,5.605199075,0.07646842,1110.101467,0.986153846,64.3,0.741666667,6,0.258333333,2.1,0.013846154,0.9,0.914862581,0.986153846,0.949030027,0.39746859,0.543684926,0.896807463,0.905849685,0.661362506,0.338637494,0.094150315,0.9000993,0.905849685,0.884567191,0.39746859,0.543684926,0.834677297,0.656953686,0.905849685,0.2622,2.00E-04,0.2609375,0,260.9375,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,8,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2-2",-5.99061E+18,10,2.02E+07,659.7,73.3,65.5,7.8,0,89.35764532,10.64235468,0,0.221811805,0.169258655,0.302346096,85.69859691,96.43414164,36.75784132,34.71306045,2.044780868,0.501445115,0.473586011,0.027859104,3.157813984,0.043042422,625.28574,0.983123543,64.1,0.827777778,6.7,0.172222222,1.4,0.016876457,1.1,0.905352113,0.983123543,0.942624159,0.269174758,0.586345183,0.911106545,0.893576453,0.738230688,0.261769312,0.106423547,0.867828295,0.893576453,0.867420499,0.269174758,0.586345183,0.848202879,0.60215124,0.893576453,0.264,2.00E-04,0.25625,0,256.25,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,9,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,659.7,73.3,66,7.3,0,90.04442799,9.95557201,0,0.289429124,0.170913984,0.293296313,86.55720505,93.59194901,36.75784132,33.21769287,3.540148443,0.501445115,0.453158524,0.048286591,3.932027361,0.053720564,779.3420472,0.983146853,64.1,0.765277778,6.2,0.234722222,1.9,0.016853147,1.1,0.91204129,0.983146853,0.946158789,0.328219707,0.597011461,0.906743082,0.90044428,0.682575205,0.317424795,0.09955572,0.875857023,0.90044428,0.877821357,0.328219707,0.597011461,0.847018014,0.636802338,0.90044428,0.2588,0,0.2546875,0,254.6875,0,11226,62760.1,8224.9,100,100,?
abelha_anomalia_12h_k11,10,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,659.7,73.3,65.9,7.4,0,89.90744169,10.09255831,0,0.267139629,0.164371361,0.296285334,83.18835987,94.46579972,36.75784132,33.62416095,3.133680364,0.501445115,0.458592942,0.042852173,4.844342963,0.066120371,958.4156699,0.984638695,64.2,0.7875,6.4,0.2125,1.7,0.015361305,1,0.909614132,0.984638695,0.945534982,0.315017891,0.572947747,0.896883182,0.899074417,0.701935722,0.298064278,0.100925583,0.876867993,0.899074417,0.874264466,0.315017891,0.572947747,0.836669602,0.624577903,0.899074417,0.2615,0,0.259375,0,259.375,0,11226,62760.1,8224.9,100,100,?
