Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
abelha_anomalia_3h_k2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.9,5.3,0,92.85945946,7.140540541,0,0.510553574,0.117551577,0.246006163,63.60386789,81.17823375,35.37289893,129.6507314,-94.27783243,0.476688161,1.751237777,-1.274549616,6.030498911,0.081220252,1256.413725,0.985006784,65.6,0.5625,4.3,0.4375,3.3,0.014993216,1,0.93880074,0.985006784,0.961200928,0.546597843,0.881062423,0.98246147,0.928594595,0.50608781,0.49391219,0.071405405,0.92529081,0.928594595,0.918190426,0.546597843,0.881062423,0.946695101,0.752375911,0.928594595,0.363,0.011,0.359375,0.009375,359.375,9.375,2452226.5,63511.4,8306.6,98.92072072,68.19279279,?,-1
abelha_anomalia_3h_k2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.7,5.5,0,92.59099099,7.409009009,0,0.48472214,0.11814036,0.247689562,63.90888351,81.6815223,35.37289893,131.0379889,-95.66508992,0.476688161,1.750629588,-1.273941427,5.762765875,0.077678715,1200.529673,0.985006784,65.6,0.589285714,4.5,0.410714286,3.1,0.014993216,1,0.936118599,0.985006784,0.959760107,0.530752024,0.862064071,0.976241944,0.92590991,0.53018884,0.46981116,0.07409009,0.924309879,0.92590991,0.914384971,0.530752024,0.862064071,0.941983231,0.73893017,0.92590991,0.3861,0.0145,0.359375,0.015625,359.375,15.625,2443853.5,63511.4,8306.6,98.51711712,67.78738739,?,-1
abelha_anomalia_3h_k2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.8,5.4,0,92.71351351,7.286486486,0,0.471188086,0.118407117,0.244239001,64.15212258,80.64820979,35.37289893,130.6359925,-95.26309354,0.476688161,1.764838881,-1.28815072,5.493727136,0.073701763,1146.58143,0.986499322,65.7,0.594642857,4.5,0.405357143,3.1,0.013500678,0.9,0.936391351,0.986499322,0.960600528,0.513691729,0.867744678,0.97918494,0.927135135,0.535278671,0.464721329,0.072864865,0.921291368,0.927135135,0.913826038,0.513691729,0.867744678,0.943011538,0.731481721,0.927135135,0.3842,0.0143,0.365625,0.0109375,365.625,10.9375,2436861.8,63511.4,8306.6,98.51351351,68.66846847,?,-1
abelha_anomalia_3h_k2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,69,5.2,0,92.98738739,7.012612613,0,0.519736609,0.117903964,0.245631985,63.79293071,81.0385219,35.37289893,129.6094046,-94.23650562,0.476688161,1.750735647,-1.274047486,6.313207956,0.084864629,1315.535726,0.985006784,65.6,0.551785714,4.2,0.448214286,3.4,0.014993216,1,0.940172072,0.985006784,0.961888579,0.558447453,0.881306737,0.981830824,0.929873874,0.496652804,0.503347196,0.070126126,0.927446138,0.929873874,0.920003619,0.558447453,0.881306737,0.945558646,0.757272406,0.929873874,0.4065,0.0161,0.3828125,0.0140625,382.8125,14.0625,2442806.3,63511.4,8306.6,98.78558559,68.87027027,?,-1
abelha_anomalia_3h_k2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.6,5.6,0,92.44864865,7.551351351,0,0.456062745,0.117848108,0.246928364,63.72799771,81.41859814,35.37289893,237.3493214,-201.9764224,0.476688161,3.167944841,-2.69125668,6.148198396,0.082759718,1279.294192,0.986454093,65.7,0.623214286,4.7,0.376785714,2.9,0.013545907,0.9,0.93343381,0.986454093,0.959127246,0.495722089,0.860179621,0.976145818,0.924486486,0.561246679,0.438753321,0.075513514,0.916543108,0.924486486,0.911518644,0.495722089,0.860179621,0.938900578,0.724463168,0.924486486,0.3705,0.0109,0.365625,0.0125,365.625,12.5,2449669.6,63511.4,8306.6,98.11891892,67.92162162,?,-1
abelha_anomalia_3h_k2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.7,5.5,0,92.58738739,7.412612613,0,0.472818409,0.117548468,0.246338942,63.63638365,81.36359421,35.37289893,236.9396708,-201.5667718,0.476688161,3.181899902,-2.705211741,5.974573494,0.080396019,1245.614537,0.986499322,65.7,0.607142857,4.6,0.392857143,3,0.013500678,0.9,0.934752522,0.986499322,0.959838772,0.510324728,0.868169905,0.978411647,0.925873874,0.546517409,0.453482591,0.074126126,0.918237196,0.925873874,0.913692135,0.510324728,0.868169905,0.94342117,0.733207209,0.925873874,0.3611,0.0108,0.353125,0.0140625,353.125,14.0625,2444486.2,63511.4,8306.6,98.51531532,67.99009009,?,-1
abelha_anomalia_3h_k2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.6,5.6,0,92.44864865,7.551351351,0,0.478120933,0.118374144,0.246493621,64.07140418,81.40295648,35.37289893,236.6210931,-201.2481942,0.476688161,3.196855457,-2.720167296,5.804121134,0.078180105,1209.340324,0.983446404,65.5,0.594642857,4.5,0.405357143,3.1,0.016553596,1.1,0.935884938,0.983446404,0.958965907,0.512747166,0.872828835,0.97971773,0.924486486,0.535682939,0.464317061,0.075513514,0.917982445,0.924486486,0.913639737,0.512747166,0.872828835,0.942969436,0.736366625,0.924486486,0.3496,0.0099,0.3484375,0.0109375,348.4375,10.9375,2443440.3,63511.4,8306.6,98.78558559,68.38918919,?,-1
abelha_anomalia_3h_k2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.7,5.5,0,92.59279279,7.407207207,0,0.481270942,0.117873243,0.244936497,63.72622078,80.81562274,35.37289893,236.5022841,-201.1293851,0.476688161,3.194892359,-2.718204198,5.71969093,0.077258749,1190.747668,0.98654455,65.7,0.601785714,4.6,0.398214286,3,0.01345545,0.9,0.934877839,0.98654455,0.959845928,0.521829021,0.872200281,0.978638087,0.925927928,0.541169092,0.458830908,0.074072072,0.920539039,0.925927928,0.91409668,0.521829021,0.872200281,0.943576073,0.737323896,0.925927928,0.4235,0.0145,0.4125,0.0140625,412.5,14.0625,2441380.2,63511.4,8306.6,98.65585586,68.26036036,?,-1
abelha_anomalia_3h_k2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,69,5.2,0,92.99459459,7.005405405,0,0.493534182,0.116711847,0.243846121,63.14341493,80.46968043,35.37289893,236.5604507,-201.1875518,0.476688161,3.196001125,-2.719312964,6.313442579,0.085025634,1315.114606,0.989484396,65.9,0.594642857,4.5,0.405357143,3.1,0.010515604,0.7,0.93636654,0.989484396,0.962068377,0.547004002,0.871757285,0.978521737,0.929945946,0.535104407,0.464895593,0.070054054,0.929146455,0.929945946,0.917455792,0.547004002,0.871757285,0.943242093,0.742960318,0.929945946,0.4035,0.0124,0.4015625,0.0078125,401.5625,7.8125,2455913.2,63511.4,8306.6,98.65045045,68.32702703,?,-1
abelha_anomalia_3h_k2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,667.8,74.2,68.8,5.4,0,92.72612613,7.273873874,0,0.501877254,0.116474324,0.242800561,63.03910294,80.11921991,35.37289893,129.6554038,-94.2825049,0.476688161,1.731902521,-1.25521436,6.508192315,0.08775517,1355.857953,0.985029398,65.6,0.576785714,4.4,0.423214286,3.2,0.014970602,1,0.93740742,0.985029398,0.960490982,0.54029644,0.880945314,0.980402679,0.927261261,0.519017577,0.480982423,0.072738739,0.924399785,0.927261261,0.916991049,0.54029644,0.880945314,0.945241735,0.748234169,0.927261261,0.4272,0.0132,0.4234375,0.0109375,423.4375,10.9375,2448941,63511.4,8306.6,99.05765766,68.26396396,?,-1
