Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
abelha_anomalia_24h_k23,1,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65,7.1,0,90.15601218,9.843987823,0,0.201008969,0.164362694,0.298007422,88.74997251,98.18771492,34.41946983,34.15401397,0.265455862,0.477355137,0.473578489,0.003776647,2.641255319,0.036714265,548.7081828,0.987620192,63.9,0.85,6.3,0.15,1.1,0.012379808,0.8,0.910361198,0.987620192,0.947309363,0.264274432,0.572430031,0.922024733,0.901560122,0.763939929,0.236060071,0.098439878,0.878721777,0.901560122,0.873531116,0.264274432,0.572430031,0.857225807,0.588963539,0.901560122,0.2724,5.00E-04,0.2671875,0,267.1875,0,11226,61755.7,8113.3,99.58333333,99.02777778,?
abelha_anomalia_24h_k23,2,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.2,6.9,0,90.42998478,9.570015221,0,0.212468739,0.160641463,0.291307403,86.75485476,95.96741743,34.41946983,33.00134544,1.418124389,0.477355137,0.457719978,0.019635159,3.669134845,0.050882917,762.5444832,0.990697115,64.1,0.85,6.3,0.15,1.1,0.009302885,0.6,0.910535848,0.990697115,0.948896693,0.290821863,0.588891655,0.925432745,0.904299848,0.763602732,0.236397268,0.095700152,0.890372272,0.904299848,0.876159884,0.290821863,0.588891655,0.860807699,0.595407942,0.904299848,0.2534,2.00E-04,0.2484375,0,248.4375,0,11226,61755.7,8113.3,99.72222222,99.2370624,?
abelha_anomalia_24h_k23,3,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.7,6.4,0,91.12252664,8.877473364,0,0.23035841,0.149888168,0.284138895,80.99176706,93.67951998,34.41946983,31.48106301,2.938406827,0.477355137,0.43666953,0.040685607,5.578842085,0.077304353,1160.724662,0.996923077,64.5,0.8375,6.2,0.1625,1.2,0.003076923,0.2,0.912497546,0.996923077,0.952764471,0.291979951,0.576599845,0.919617625,0.911225266,0.751802189,0.248197811,0.088774734,0.882862131,0.911225266,0.880612121,0.291979951,0.576599845,0.856385059,0.601104458,0.911225266,0.2558,1.00E-04,0.2578125,0,257.8125,0,11226,61755.7,8113.3,99.86111111,99.2380137,?
abelha_anomalia_24h_k23,4,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.6,6.5,0,90.98363775,9.016362253,0,0.239039612,0.149792155,0.284843316,80.98681412,93.93487554,34.41946983,31.49018604,2.929283797,0.477355137,0.436790867,0.040564269,5.2569132,0.07282646,1094.724691,0.995384615,64.4,0.8375,6.2,0.1625,1.2,0.004615385,0.3,0.91224905,0.995384615,0.951960297,0.321994619,0.604585337,0.919103322,0.909836377,0.751951762,0.248048238,0.090163623,0.895600757,0.909836377,0.881236439,0.321994619,0.604585337,0.859091053,0.607646815,0.909836377,0.2562,0,0.2546875,0,254.6875,0,11226,61755.7,8113.3,99.86111111,99.375,?
abelha_anomalia_24h_k23,5,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.1,7,0,90.29299848,9.707001522,0,0.187042008,0.153373376,0.291714086,82.84705669,96.19186663,34.41946983,32.47411243,1.945357405,0.477355137,0.450313593,0.027041543,4.148659699,0.057593551,863.1501379,0.989182692,64,0.853571429,6.3,0.146428571,1.1,0.010817308,0.7,0.910589022,0.989182692,0.948150508,0.225591734,0.577449348,0.921313597,0.902929985,0.767318721,0.232681279,0.097070015,0.865413008,0.902929985,0.873040584,0.225591734,0.577449348,0.857887743,0.580464143,0.902929985,0.2665,2.00E-04,0.2640625,0,264.0625,0,11226,61755.7,8113.3,100,99.37595129,?
abelha_anomalia_24h_k23,6,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.4,6.7,0,90.70585997,9.29414003,0,0.222714367,0.152235175,0.288766378,82.1900449,95.20106866,34.41946983,32.37849912,2.040970711,0.477355137,0.449130064,0.028225073,4.413916331,0.061178156,918.165297,0.992307692,64.2,0.835714286,6.2,0.164285714,1.2,0.007692308,0.5,0.912130731,0.992307692,0.950422166,0.266913689,0.564611951,0.916953578,0.9070586,0.750465193,0.249534807,0.0929414,0.871437256,0.9070586,0.87792852,0.266913689,0.564611951,0.852468014,0.598544417,0.9070586,0.2675,1.00E-04,0.259375,0,259.375,0,11226,61755.7,8113.3,99.86111111,99.58333333,?
abelha_anomalia_24h_k23,7,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.4,6.7,0,90.70966514,9.290334855,0,0.23435413,0.159565168,0.290041018,86.25930223,95.65663883,34.41946983,32.55364968,1.865820152,0.477355137,0.451428144,0.025926992,4.028052267,0.055900473,838.9000496,0.990745192,64.1,0.823214286,6.1,0.176785714,1.3,0.009254808,0.6,0.913348724,0.990745192,0.950363323,0.283344727,0.601668956,0.926311861,0.907096651,0.739565745,0.260434255,0.092903349,0.877576761,0.907096651,0.87961722,0.283344727,0.601668956,0.864346983,0.605737217,0.907096651,0.2727,0,0.2703125,0,270.3125,0,11226,61755.7,8113.3,99.72222222,99.375,?
abelha_anomalia_24h_k23,8,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.2,6.9,0,90.42808219,9.571917808,0,0.19976652,0.158655308,0.292002194,85.59588213,96.16588603,34.41946983,32.9220349,1.49743493,0.477355137,0.456691063,0.020664074,3.059746392,0.042328222,634.5417494,0.990721154,64.1,0.846428571,6.3,0.153571429,1.1,0.009278846,0.6,0.910757728,0.990721154,0.948928559,0.237601121,0.566407967,0.912462453,0.904280822,0.75998824,0.24001176,0.095719178,0.863987422,0.904280822,0.873822061,0.237601121,0.566407967,0.851044198,0.586257209,0.904280822,0.2749,0,0.2640625,0,264.0625,0,11226,61755.7,8113.3,99.86111111,99.44539574,?
abelha_anomalia_24h_k23,9,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.1,7,0,90.29490107,9.705098935,0,0.202840082,0.158201961,0.294780265,85.38450808,97.14116929,34.41946983,34.13881229,0.280657547,0.477355137,0.473396435,0.003958702,3.685536157,0.051191304,765.6478621,0.987692308,63.9,0.833928571,6.2,0.166071429,1.2,0.012307692,0.8,0.911901616,0.987692308,0.948133266,0.227029718,0.573771463,0.917848568,0.902949011,0.749185274,0.250814726,0.097050989,0.859082528,0.902949011,0.873950743,0.227029718,0.573771463,0.85331824,0.588814108,0.902949011,0.2781,1.00E-04,0.2625,0,262.5,0,11226,61755.7,8113.3,99.44444444,99.02777778,?
abelha_anomalia_24h_k23,10,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99061E+18,10,2.02E+07,648.9,72.1,65.1,7,0,90.29109589,9.70890411,0,0.214798659,0.161127587,0.293825405,87.04204071,96.90081004,34.41946983,33.41307179,1.006398043,0.477355137,0.463445991,0.013909146,3.267802843,0.04528124,680.0292299,0.987644231,63.9,0.839285714,6.2,0.160714286,1.2,0.012355769,0.8,0.911600781,0.987644231,0.948057494,0.273929345,0.601438015,0.922816167,0.902910959,0.754552442,0.245447558,0.097089041,0.881628342,0.902910959,0.876365437,0.273929345,0.601438015,0.861351879,0.597614605,0.902910959,0.2615,4.00E-04,0.253125,0,253.125,0,11226,61755.7,8113.3,99.58333333,99.02968037,?
