@relation InstanceResultListener

@attribute Key_Dataset {abelha_anomalia_6h_k5}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {1116839470751428698}
@attribute Num_Fold numeric
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

abelha_anomalia_6h_k5,1,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0325,665.1,73.9,67.3,6.6,0,91.069974,8.930026,0,0.319246,0.139973,0.267184,73.876099,87.118125,35.944718,135.121875,-99.177157,0.486357,1.826467,-1.34011,1.851669,0.025072,380.323153,0.989462,65.4,0.758929,5.9,0.241071,1.9,0.010538,0.7,0.91741,0.989462,0.952002,0.388228,0.797086,0.959144,0.9107,0.680167,0.319833,0.0893,0.904453,0.9107,0.889082,0.388228,0.797086,0.914678,0.652061,0.9107,0.3625,0.0104,0.353125,0.007813,353.125,7.8125,2890771.6,63260.3,8278.7,98.106257,73.009071,?,-1
abelha_anomalia_6h_k5,2,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0325,665.1,73.9,67.4,6.5,0,91.208812,8.791188,0,0.348101,0.141096,0.26561,74.317503,86.442961,35.944718,135.031477,-99.086759,0.486357,1.825109,-1.338752,1.180457,0.016036,240.484003,0.987924,65.3,0.728571,5.7,0.271429,2.1,0.012076,0.8,0.919934,0.987924,0.952637,0.400723,0.800941,0.961665,0.912088,0.652736,0.347264,0.087912,0.899549,0.912088,0.892224,0.400723,0.800941,0.917141,0.667476,0.912088,0.3377,0.0125,0.3375,0.0125,337.5,12.5,2897190.3,63260.3,8278.7,98.108108,73.611625,?,-1
abelha_anomalia_6h_k5,3,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.03258,665.1,73.9,67.4,6.5,0,91.20696,8.79304,0,0.337843,0.143106,0.267561,75.414444,87.131942,35.944718,135.086911,-99.142193,0.486357,1.825976,-1.339619,0.601,0.008234,123.020945,0.987947,65.3,0.732143,5.7,0.267857,2.1,0.012053,0.8,0.920061,0.987947,0.952667,0.392823,0.803229,0.959675,0.91207,0.656266,0.343734,0.08793,0.899425,0.91207,0.891386,0.392823,0.803229,0.914247,0.661605,0.91207,0.346,0.0086,0.342187,0.007813,342.1875,7.8125,2905759.3,63260.3,8278.7,98.511662,74.622362,?,-1
abelha_anomalia_6h_k5,4,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0326,665.1,73.9,67.4,6.5,0,91.210663,8.789337,0,0.34639,0.140988,0.266248,74.278496,86.663259,35.944718,28.326253,7.618465,0.486357,0.383186,0.103171,1.418909,0.01933,289.234689,0.987901,65.3,0.730357,5.7,0.269643,2.1,0.012099,0.8,0.919879,0.987901,0.952636,0.391427,0.806515,0.962822,0.912107,0.654562,0.345438,0.087893,0.895475,0.912107,0.89244,0.391427,0.806515,0.915859,0.666924,0.912107,0.3416,0.0089,0.339062,0.009375,339.0625,9.375,2895494.5,63260.3,8278.7,98.106257,73.68197,?,-1
abelha_anomalia_6h_k5,5,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0326,665.1,73.9,67.4,6.5,0,91.20696,8.79304,0,0.342095,0.140796,0.266531,74.170579,86.712683,35.944718,241.712869,-205.768151,0.486357,3.266781,-2.780425,1.216894,0.016497,248.146703,0.987901,65.3,0.728571,5.7,0.271429,2.1,0.012099,0.8,0.920045,0.987901,0.952599,0.39513,0.800704,0.958778,0.91207,0.65274,0.34726,0.08793,0.897203,0.91207,0.891208,0.39513,0.800704,0.914857,0.663118,0.91207,0.3472,0.0131,0.342187,0.0125,342.1875,12.5,2897177.5,63260.3,8278.7,98.243243,73.541281,?,-1
abelha_anomalia_6h_k5,6,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0326,665.1,73.9,67.5,6.4,0,91.338393,8.661607,0,0.330317,0.141465,0.267128,74.59354,87.041187,35.944718,241.780079,-205.835361,0.486357,3.267809,-2.781452,0.920006,0.012472,189.255233,0.990932,65.5,0.746429,5.8,0.253571,2,0.009068,0.6,0.918857,0.990932,0.953451,0.386363,0.798786,0.958279,0.913384,0.668881,0.331119,0.086616,0.898098,0.913384,0.89122,0.386363,0.798786,0.913896,0.656788,0.913384,0.3528,0.0094,0.346875,0.009375,346.875,9.375,2903525.5,63260.3,8278.7,98.511662,73.402444,?,-1
abelha_anomalia_6h_k5,7,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0326,665.1,73.9,67.5,6.4,0,91.340244,8.659756,0,0.335404,0.142608,0.268597,75.180706,87.475845,35.944718,242.249924,-206.305206,0.486357,3.274074,-2.787717,0.684653,0.009163,141.247156,0.990909,65.5,0.744643,5.8,0.255357,2,0.009091,0.6,0.918906,0.990909,0.953448,0.408526,0.789059,0.955798,0.913402,0.667136,0.332864,0.086598,0.908062,0.913402,0.891573,0.408526,0.789059,0.910892,0.659715,0.913402,0.3498,0.0119,0.340625,0.0125,340.625,12.5,2903957.5,63260.3,8278.7,98.243243,74.219733,?,-1
abelha_anomalia_6h_k5,8,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0326,665.1,73.9,67.6,6.3,0,91.471677,8.528323,0,0.337112,0.140719,0.265635,74.228934,86.569582,35.944718,134.601461,-98.656743,0.486357,1.819557,-1.3332,1.340743,0.017912,275.622102,0.990909,65.5,0.733929,5.7,0.266071,2.1,0.009091,0.6,0.920341,0.990909,0.954154,0.390015,0.806438,0.962273,0.914717,0.657736,0.342264,0.085283,0.897324,0.914717,0.892309,0.390015,0.806438,0.918816,0.659548,0.914717,0.3478,0.0108,0.345312,0.009375,345.3125,9.375,2895111.9,63260.3,8278.7,98.374676,74.018882,?,-1
abelha_anomalia_6h_k5,9,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.0326,665.1,73.9,67.5,6.4,0,91.334691,8.665309,0,0.330528,0.140038,0.263645,73.768439,85.836861,35.944718,134.417033,-98.472315,0.486357,1.817196,-1.33084,1.339585,0.01798,273.013103,0.990932,65.5,0.742857,5.8,0.257143,2,0.009068,0.6,0.918972,0.990932,0.953472,0.389843,0.803079,0.961419,0.913347,0.665272,0.334728,0.086653,0.900396,0.913347,0.890911,0.389843,0.803079,0.916964,0.65695,0.913347,0.3464,0.0125,0.342187,0.0125,342.1875,12.5,2901421.2,63260.3,8278.7,98.50796,73.606997,?,-1
