Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
abelha_anomalia_6h_k5,1,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.3,6.6,0,91.06997408,8.930025916,0,0.319246339,0.139973343,0.267183828,73.876099,87.11812503,35.94471795,135.1218747,-99.17715673,0.486356903,1.826467357,-1.340110453,1.851668633,0.025071865,380.3231534,0.989461782,65.4,0.758928571,5.9,0.241071429,1.9,0.010538218,0.7,0.917409939,0.989461782,0.952001656,0.388227859,0.797085595,0.959144022,0.910699741,0.68016653,0.31983347,0.089300259,0.904453278,0.910699741,0.889082304,0.388227859,0.797085595,0.914677848,0.652061434,0.910699741,0.4266,0.0156,0.3984375,0.0125,398.4375,12.5,2890771.6,63260.3,8278.7,98.10625694,73.00907071,?,-1
abelha_anomalia_6h_k5,2,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.4,6.5,0,91.20881155,8.791188449,0,0.348101262,0.14109589,0.265610143,74.31750327,86.44296066,35.94471795,135.0314771,-99.08675911,0.486356903,1.825109056,-1.338752153,1.180456975,0.016036392,240.484003,0.987924016,65.3,0.728571429,5.7,0.271428571,2.1,0.012075984,0.8,0.919933529,0.987924016,0.952636573,0.400722984,0.800941114,0.961665311,0.912088116,0.652735528,0.347264472,0.087911884,0.899549149,0.912088116,0.892223914,0.400722984,0.800941114,0.917141197,0.667476018,0.912088116,0.3969,0.0158,0.3859375,0.0171875,385.9375,17.1875,2897190.3,63260.3,8278.7,98.10810811,73.61162532,?,-1
abelha_anomalia_6h_k5,3,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.4,6.5,0,91.20696039,8.793039615,0,0.337843494,0.143106303,0.267560656,75.41444411,87.13194197,35.94471795,135.0869107,-99.14219272,0.486356903,1.825975723,-1.33961882,0.601000472,0.008234009,123.0209448,0.98794663,65.3,0.732142857,5.7,0.267857143,2.1,0.01205337,0.8,0.920061431,0.98794663,0.952666822,0.392823009,0.803228783,0.959675453,0.912069604,0.656265831,0.343734169,0.087930396,0.899424992,0.912069604,0.891385541,0.392823009,0.803228783,0.914247389,0.661604806,0.912069604,0.4146,0.0149,0.3828125,0.0140625,382.8125,14.0625,2905759.3,63260.3,8278.7,98.51166235,74.62236209,?,-1
abelha_anomalia_6h_k5,4,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.4,6.5,0,91.21066272,8.789337282,0,0.346389796,0.140988291,0.266248406,74.27849638,86.66325933,35.94471795,28.32625276,7.618465191,0.486356903,0.383186135,0.103170768,1.418908725,0.019329662,289.2346892,0.987901402,65.3,0.730357143,5.7,0.269642857,2.1,0.012098598,0.8,0.919878805,0.987901402,0.95263561,0.391426512,0.806515313,0.962822477,0.912106627,0.654562368,0.345437632,0.087893373,0.895474971,0.912106627,0.892440289,0.391426512,0.806515313,0.915858694,0.666923866,0.912106627,0.3847,0.014,0.3765625,0.0140625,376.5625,14.0625,2895494.5,63260.3,8278.7,98.10625694,73.68196964,?,-1
abelha_anomalia_6h_k5,5,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.4,6.5,0,91.20696039,8.793039615,0,0.342095181,0.140796187,0.266530682,74.17057915,86.71268283,35.94471795,241.712869,-205.7681511,0.486356903,3.266781495,-2.780424591,1.216893791,0.016496731,248.1467029,0.987901402,65.3,0.728571429,5.7,0.271428571,2.1,0.012098598,0.8,0.920045156,0.987901402,0.952599257,0.395129992,0.800704473,0.958778497,0.912069604,0.65273963,0.34726037,0.087930396,0.897203269,0.912069604,0.891207776,0.395129992,0.800704473,0.914857122,0.66311781,0.912069604,0.3818,0.0127,0.375,0.0125,375,12.5,2897177.5,63260.3,8278.7,98.24324324,73.54128101,?,-1
abelha_anomalia_6h_k5,6,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.5,6.4,0,91.33839319,8.661606812,0,0.330316705,0.141465337,0.267127733,74.59354037,87.04118701,35.94471795,241.7800789,-205.835361,0.486356903,3.267809132,-2.781452229,0.920006395,0.012471795,189.2552328,0.990931705,65.5,0.746428571,5.8,0.253571429,2,0.009068295,0.6,0.918857255,0.990931705,0.953450756,0.386362502,0.798785698,0.958278716,0.913383932,0.668880798,0.331119202,0.086616068,0.898098352,0.913383932,0.891219655,0.386362502,0.798785698,0.913895798,0.656787538,0.913383932,0.3801,0.0117,0.3734375,0.0125,373.4375,12.5,2903525.5,63260.3,8278.7,98.51166235,73.40244354,?,-1
abelha_anomalia_6h_k5,7,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.5,6.4,0,91.34024435,8.659755646,0,0.335403887,0.142608201,0.268597303,75.18070571,87.47584547,35.94471795,242.2499241,-206.3052061,0.486356903,3.274074302,-2.787717398,0.684653044,0.009163342,141.2471559,0.990909091,65.5,0.744642857,5.8,0.255357143,2,0.009090909,0.6,0.91890628,0.990909091,0.953447885,0.40852577,0.789059168,0.955798295,0.913402444,0.66713621,0.33286379,0.086597556,0.908062266,0.913402444,0.891572736,0.40852577,0.789059168,0.910892258,0.659714563,0.913402444,0.3733,0.014,0.3671875,0.0140625,367.1875,14.0625,2903957.5,63260.3,8278.7,98.24324324,74.21973343,?,-1
abelha_anomalia_6h_k5,8,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.6,6.3,0,91.47167716,8.528322843,0,0.337111885,0.140719317,0.26563508,74.22893442,86.56958197,35.94471795,134.6014613,-98.65674335,0.486356903,1.819556818,-1.333199915,1.340742728,0.017912441,275.6221021,0.990909091,65.5,0.733928571,5.7,0.266071429,2.1,0.009090909,0.6,0.920340948,0.990909091,0.95415435,0.390014816,0.806438384,0.962273367,0.914716772,0.657736252,0.342263748,0.085283228,0.897323528,0.914716772,0.892308772,0.390014816,0.806438384,0.918815727,0.659548038,0.914716772,0.3788,0.013,0.36875,0.0140625,368.75,14.0625,2895111.9,63260.3,8278.7,98.37467605,74.0188819,?,-1
abelha_anomalia_6h_k5,9,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.5,6.4,0,91.33469086,8.665309145,0,0.330527758,0.140037718,0.263644883,73.76843886,85.83686114,35.94471795,134.4170327,-98.47231476,0.486356903,1.817196497,-1.330839594,1.33958458,0.017979594,273.0131029,0.990931705,65.5,0.742857143,5.8,0.257142857,2,0.009068295,0.6,0.918971782,0.990931705,0.953471916,0.389843034,0.80307856,0.961418977,0.913346909,0.665272346,0.334727654,0.086653091,0.90039577,0.913346909,0.890911203,0.389843034,0.80307856,0.916964327,0.656949633,0.913346909,0.3775,0.013,0.375,0.0140625,375,14.0625,2901421.2,63260.3,8278.7,98.50796001,73.60699741,?,-1
abelha_anomalia_6h_k5,10,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.11684E+18,10,2.02E+07,665.1,73.9,67.4,6.5,0,91.20325805,8.796741947,0,0.304907123,0.142399574,0.269082697,75.08006322,87.62214058,35.94471795,136.184036,-100.2393181,0.486356903,1.840873226,-1.354516323,0.688118979,0.009287512,141.4757224,0.992424242,65.6,0.771428571,6,0.228571429,1.8,0.007575758,0.5,0.916411549,0.992424242,0.952847151,0.360457379,0.775514271,0.954778989,0.912032581,0.69103691,0.30896309,0.087967419,0.891610471,0.912032581,0.887710662,0.360457379,0.775514271,0.908581335,0.64306499,0.912032581,0.3691,0.0127,0.36875,0.0109375,368.75,10.9375,2895729.8,63260.3,8278.7,97.83598667,73.67826731,?,-1
