Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Num_Fold,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
abelha_anomalia_6h_k5,1,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.2,6.7,0,90.93483895,9.065161051,0,0.323476536,0.156723314,0.282791298,82.65119146,92.1497247,35.94471795,31.61015776,4.334560189,0.486356903,0.427685066,0.058671837,5.763559764,0.078010554,1177.761932,0.986408865,65.2,0.746428571,5.8,0.253571429,2,0.013591135,0.9,0.918479435,0.986408865,0.951152578,0.37640933,0.571727402,0.895077725,0.909348389,0.669368096,0.330631904,0.090651611,0.896399994,0.909348389,0.889081125,0.37640933,0.571727402,0.843423621,0.655085668,0.909348389,0.2646,0,0.2609375,0,260.9375,0,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,2,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.2,6.7,0,90.93483895,9.065161051,0,0.328199601,0.149175606,0.281589766,78.59124065,91.65923158,35.94471795,31.65592441,4.288793547,0.486356903,0.428288184,0.058068719,6.711503932,0.090776096,1369.981764,0.986386251,65.2,0.741071429,5.8,0.258928571,2,0.013613749,0.9,0.918523711,0.986386251,0.951164947,0.370821328,0.61257915,0.916121961,0.909348389,0.664033567,0.335966433,0.090651611,0.890446424,0.909348389,0.888956579,0.370821328,0.61257915,0.862816551,0.657400656,0.909348389,0.2644,0,0.2625,0,262.5,0,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,3,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.1,6.8,0,90.79970381,9.200296187,0,0.32125109,0.152985328,0.284431873,80.70379069,92.72805724,35.94471795,32.25505234,3.689665608,0.486356903,0.436423841,0.049933063,6.027846594,0.081530454,1232.723781,0.984938942,65.1,0.744642857,5.8,0.255357143,2,0.015061058,1,0.918400902,0.984938942,0.950403862,0.365121423,0.590331621,0.914330806,0.907997038,0.667700954,0.332299046,0.092002962,0.890668148,0.907997038,0.88802278,0.365121423,0.590331621,0.858201772,0.654001465,0.907997038,0.288,3.00E-04,0.26875,0,268.75,0,11222,63260.3,8278.7,99.18918919,95.54054054,?
abelha_anomalia_6h_k5,4,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.3,6.6,0,91.07182525,8.92817475,0,0.322834178,0.152283968,0.282200311,80.28500198,91.94085363,35.94471795,31.50818159,4.43653636,0.486356903,0.426264238,0.060092665,6.333296527,0.085748501,1293.6837,0.989439168,65.4,0.757142857,5.9,0.242857143,1.9,0.010560832,0.7,0.917379898,0.989439168,0.952002262,0.384405174,0.597302853,0.913654824,0.910718252,0.678421942,0.321578058,0.089281748,0.899838458,0.910718252,0.88942653,0.384405174,0.597302853,0.858424803,0.654384969,0.910718252,0.2998,0,0.278125,0,278.125,0,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,5,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,66.8,7.1,0,90.39244724,9.607552758,0,0.252255576,0.154909154,0.290071645,81.61381256,94.45463506,35.94471795,32.8644384,3.080279555,0.486356903,0.444671154,0.04168575,5.212965626,0.070553797,1064.184118,0.986386251,65.2,0.794642857,6.2,0.205357143,1.6,0.013613749,0.9,0.913559725,0.986386251,0.948397683,0.300215122,0.581436365,0.90244346,0.903924472,0.712181079,0.287818921,0.096075528,0.88002607,0.903924472,0.878126491,0.300215122,0.58141589,0.846299768,0.615544163,0.903924472,0.2912,1.00E-04,0.28125,0,281.25,0,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,6,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.8,6.1,0,91.74564976,8.254350241,0,0.369866867,0.147821206,0.275118426,78.00526704,89.65431148,35.94471795,30.37637267,5.568345282,0.486356903,0.411032426,0.075324477,7.508946446,0.101560838,1534.465851,0.992446857,65.6,0.717857143,5.6,0.282142857,2.2,0.007553143,0.5,0.921663702,0.992446857,0.955627206,0.441208818,0.592843009,0.904873927,0.917456498,0.642866784,0.357133216,0.082543502,0.913815096,0.917456498,0.897035576,0.441208818,0.592843009,0.850925211,0.677522227,0.917456498,0.2885,1.00E-04,0.26875,0,268.75,0,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,7,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.2,6.7,0,90.93669011,9.063309885,0,0.31433053,0.153666363,0.282917254,80.95352139,92.08355309,35.94471795,31.81900315,4.125714798,0.486356903,0.430481088,0.055875815,6.079065937,0.082260672,1240.451783,0.987878788,65.3,0.757142857,5.9,0.242857143,1.9,0.012121212,0.8,0.917295105,0.987878788,0.951228726,0.366774204,0.59307965,0.912026212,0.909366901,0.67863097,0.32136903,0.090633099,0.892345371,0.909366901,0.887632215,0.366774204,0.59307965,0.857280951,0.64974218,0.909366901,0.2547,1.00E-04,0.2546875,0,254.6875,0,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,8,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.2,6.7,0,90.93483895,9.065161051,0,0.318645216,0.147303258,0.281455632,77.59011372,91.60947311,35.94471795,31.56600376,4.378714193,0.486356903,0.427132036,0.059224867,6.870444632,0.092989581,1401.677694,0.986363636,65.2,0.744642857,5.8,0.255357143,2,0.013636364,0.9,0.918642682,0.986363636,0.951091861,0.375592323,0.593069151,0.905223189,0.909348389,0.66762761,0.33237239,0.090651611,0.894449617,0.909348389,0.887747805,0.375592323,0.593069151,0.851175061,0.650885868,0.909348389,0.2739,0,0.2609375,0.0015625,260.9375,1.5625,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,9,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.1,6.8,0,90.79415031,9.205849685,0,0.285225246,0.150982251,0.284618641,79.58075959,92.64222206,35.94471795,32.05309623,3.891621717,0.486356903,0.433866862,0.052490042,6.009112925,0.081121604,1226.809761,0.987901402,65.3,0.767857143,6,0.232142857,1.8,0.012098598,0.8,0.916259038,0.987901402,0.950571121,0.33889651,0.578888027,0.89777919,0.907941503,0.687897244,0.312102756,0.092058497,0.890949268,0.907941503,0.883474682,0.33889651,0.578888027,0.844434414,0.633071108,0.907941503,0.2566,2.00E-04,0.25625,0,256.25,0,11222,63260.3,8278.7,100,100,?
abelha_anomalia_6h_k5,10,weka.classifiers.functions.MultilayerPerceptron,"-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \""1-2",-5.99E+18,10,2.02E+07,665.1,73.9,67.3,6.6,0,91.06812292,8.931877083,0,0.3288515,0.148259972,0.281246997,78.1413323,91.5686546,35.94471795,31.53420366,4.410514288,0.486356903,0.426769335,0.059587568,7.171282067,0.096946775,1463.913766,0.987901402,65.3,0.742857143,5.8,0.257142857,2,0.012098598,0.8,0.918606984,0.987901402,0.951928453,0.374910497,0.605182287,0.91328253,0.910681229,0.66563697,0.33436303,0.089318771,0.893039349,0.910681229,0.889672878,0.374910497,0.605182287,0.859314928,0.657277358,0.910681229,0.2795,0,0.26875,0,268.75,0,11222,63260.3,8278.7,100,100,?
