@relation InstanceResultListener

@attribute Key_Dataset {abelha_anomalia_3h_k2}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {1116839470751428698}
@attribute Num_Fold numeric
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

abelha_anomalia_3h_k2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,68.9,5.3,0,92.859459,7.140541,0,0.510554,0.117552,0.246006,63.603868,81.178234,35.372899,129.650731,-94.277832,0.476688,1.751238,-1.27455,6.030499,0.08122,1256.413725,0.985007,65.6,0.5625,4.3,0.4375,3.3,0.014993,1,0.938801,0.985007,0.961201,0.546598,0.881062,0.982461,0.928595,0.506088,0.493912,0.071405,0.925291,0.928595,0.91819,0.546598,0.881062,0.946695,0.752376,0.928595,0.3799,0.0119,0.357812,0.0125,357.8125,12.5,2452226.5,63511.4,8306.6,98.920721,68.192793,?,-1
abelha_anomalia_3h_k2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,68.7,5.5,0,92.590991,7.409009,0,0.484722,0.11814,0.24769,63.908884,81.681522,35.372899,131.037989,-95.66509,0.476688,1.75063,-1.273941,5.762766,0.077679,1200.529673,0.985007,65.6,0.589286,4.5,0.410714,3.1,0.014993,1,0.936119,0.985007,0.95976,0.530752,0.862064,0.976242,0.92591,0.530189,0.469811,0.07409,0.92431,0.92591,0.914385,0.530752,0.862064,0.941983,0.73893,0.92591,0.389,0.0124,0.378125,0.010937,378.125,10.9375,2443853.5,63511.4,8306.6,98.517117,67.787387,?,-1
abelha_anomalia_3h_k2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,68.8,5.4,0,92.713514,7.286486,0,0.471188,0.118407,0.244239,64.152123,80.64821,35.372899,130.635992,-95.263094,0.476688,1.764839,-1.288151,5.493727,0.073702,1146.58143,0.986499,65.7,0.594643,4.5,0.405357,3.1,0.013501,0.9,0.936391,0.986499,0.960601,0.513692,0.867745,0.979185,0.927135,0.535279,0.464721,0.072865,0.921291,0.927135,0.913826,0.513692,0.867745,0.943012,0.731482,0.927135,0.3648,0.0118,0.345312,0.0125,345.3125,12.5,2436861.8,63511.4,8306.6,98.513514,68.668468,?,-1
abelha_anomalia_3h_k2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,69,5.2,0,92.987387,7.012613,0,0.519737,0.117904,0.245632,63.792931,81.038522,35.372899,129.609405,-94.236506,0.476688,1.750736,-1.274047,6.313208,0.084865,1315.535726,0.985007,65.6,0.551786,4.2,0.448214,3.4,0.014993,1,0.940172,0.985007,0.961889,0.558447,0.881307,0.981831,0.929874,0.496653,0.503347,0.070126,0.927446,0.929874,0.920004,0.558447,0.881307,0.945559,0.757272,0.929874,0.3728,0.0265,0.339063,0.010937,339.0625,10.9375,2442806.3,63511.4,8306.6,98.785586,68.87027,?,-1
abelha_anomalia_3h_k2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,68.6,5.6,0,92.448649,7.551351,0,0.456063,0.117848,0.246928,63.727998,81.418598,35.372899,237.349321,-201.976422,0.476688,3.167945,-2.691257,6.148198,0.08276,1279.294192,0.986454,65.7,0.623214,4.7,0.376786,2.9,0.013546,0.9,0.933434,0.986454,0.959127,0.495722,0.86018,0.976146,0.924486,0.561247,0.438753,0.075514,0.916543,0.924486,0.911519,0.495722,0.86018,0.938901,0.724463,0.924486,0.3501,0.0117,0.348438,0.007813,348.4375,7.8125,2449669.6,63511.4,8306.6,98.118919,67.921622,?,-1
abelha_anomalia_3h_k2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,68.7,5.5,0,92.587387,7.412613,0,0.472818,0.117548,0.246339,63.636384,81.363594,35.372899,236.939671,-201.566772,0.476688,3.1819,-2.705212,5.974573,0.080396,1245.614537,0.986499,65.7,0.607143,4.6,0.392857,3,0.013501,0.9,0.934753,0.986499,0.959839,0.510325,0.86817,0.978412,0.925874,0.546517,0.453483,0.074126,0.918237,0.925874,0.913692,0.510325,0.86817,0.943421,0.733207,0.925874,0.3749,0.0128,0.3625,0.015625,362.5,15.625,2444486.2,63511.4,8306.6,98.515315,67.99009,?,-1
abelha_anomalia_3h_k2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,68.6,5.6,0,92.448649,7.551351,0,0.478121,0.118374,0.246494,64.071404,81.402956,35.372899,236.621093,-201.248194,0.476688,3.196855,-2.720167,5.804121,0.07818,1209.340324,0.983446,65.5,0.594643,4.5,0.405357,3.1,0.016554,1.1,0.935885,0.983446,0.958966,0.512747,0.872829,0.979718,0.924486,0.535683,0.464317,0.075514,0.917982,0.924486,0.91364,0.512747,0.872829,0.942969,0.736367,0.924486,0.3605,0.0119,0.354687,0.009375,354.6875,9.375,2443440.3,63511.4,8306.6,98.785586,68.389189,?,-1
abelha_anomalia_3h_k2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,68.7,5.5,0,92.592793,7.407207,0,0.481271,0.117873,0.244936,63.726221,80.815623,35.372899,236.502284,-201.129385,0.476688,3.194892,-2.718204,5.719691,0.077259,1190.747668,0.986545,65.7,0.601786,4.6,0.398214,3,0.013455,0.9,0.934878,0.986545,0.959846,0.521829,0.8722,0.978638,0.925928,0.541169,0.458831,0.074072,0.920539,0.925928,0.914097,0.521829,0.8722,0.943576,0.737324,0.925928,0.3549,0.0125,0.351563,0.0125,351.5625,12.5,2441380.2,63511.4,8306.6,98.655856,68.26036,?,-1
abelha_anomalia_3h_k2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 400 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,10,20170926.205,667.8,74.2,69,5.2,0,92.994595,7.005405,0,0.493534,0.116712,0.243846,63.143415,80.46968,35.372899,236.560451,-201.187552,0.476688,3.196001,-2.719313,6.313443,0.085026,1315.114606,0.989484,65.9,0.594643,4.5,0.405357,3.1,0.010516,0.7,0.936367,0.989484,0.962068,0.547004,0.871757,0.978522,0.929946,0.535104,0.464896,0.070054,0.929146,0.929946,0.917456,0.547004,0.871757,0.943242,0.74296,0.929946,0.3409,0.0118,0.335938,0.010937,335.9375,10.9375,2455913.2,63511.4,8306.6,98.65045,68.327027,?,-1
